iterations,time,residual,fitness,cond_num
0,0.0,54414.92881773402,0.10850420475713851,6.8987172136836925
1,16.395550966262817,23644.660258539865,0.6126225714446856,594.1622209104414
2,32.84612584114075,19568.26371430006,0.6794073758704143,347.278893418671
3,49.1966118812561,19318.766670682126,0.683494959372654,293.76656165482456
4,65.6354467868805,19238.426694115507,0.6848111928559129,316.3134912013443
5,82.08014488220215,19185.868796216502,0.685672264367018,337.7216144597167
6,98.50510001182556,19146.625260898993,0.6863152027570177,356.2741937763242
7,114.87583994865417,19113.44095856493,0.6868588709495826,375.4663503380428
8,131.33318996429443,19088.425415908223,0.6872687079479709,397.496635512525
9,147.76000809669495,19072.776504635032,0.6875250886674406,421.91055398243424
10,164.1870858669281,19062.533350250575,0.6876929052806784,447.907415454512
11,180.589421749115,19054.931942924217,0.6878174413742948,475.29823141237347
12,197.03529953956604,19048.784111001394,0.6879181631142315,504.4613186636806
13,213.53377771377563,19043.562515351336,0.6880037100526843,535.8968511897098
14,229.93333649635315,19039.00003689331,0.6880784584801763,570.0448499125398
15,246.35394668579102,19034.946601808482,0.6881448671002541,607.2180845903374
16,262.8172836303711,19031.311013401715,0.6882044300152167,647.55051216408
17,279.1905086040497,19028.032860471296,0.6882581369595632,690.9410956587536
18,295.6109664440155,19025.067569506235,0.6883067181942437,737.0011715966497
19,312.0566976070404,19022.378499635473,0.6883507740174339,785.0237037504215
