method,iterations,time,residual,fitness,cond_num
M-norm,1,0.0,47949.48150776413,0.0008849114113563816,8.643985549449038
M-norm,2,0.011078119277954102,19960.296263496715,0.5840907442069021,130.11195150139906
M-norm,1,0.0,47949.48150776413,0.0008849114113563816,8.643985549449038
M-norm,2,0.008411884307861328,19960.296263496715,0.5840907442069021,130.11195150139906
M-norm,3,0.013032913208007812,12505.167963788715,0.7394319687078672,95.49452890270712
M-norm,4,0.01762676239013672,11346.546691593332,0.7635739606253967,72.12832608976419
M-norm,5,0.02301788330078125,9632.707109314772,0.7992849408535709,49.91468883653521
M-norm,6,0.027677059173583984,7902.126242354865,0.8353447563475609,37.46667145828653
M-norm,7,0.032395124435424805,7185.923268211274,0.8502681543793635,33.65303569273815
M-norm,8,0.037490129470825195,6937.7890998683915,0.8554384833128604,32.412514586574694
M-norm,9,0.0421450138092041,6752.31128358783,0.8593032526287575,31.905635940272045
M-norm,10,0.046983957290649414,6555.830276069185,0.8633972935455752,31.72070735128965
M-norm,11,0.052234649658203125,6334.919613589429,0.8680003709756804,31.774854651763025
M-norm,12,0.05697965621948242,23771.981565164024,0.5046673140029548,11.648426214342312
M-norm,13,0.0616908073425293,3599.638894141727,0.9249949442722297,5.944902120149161
M-norm,14,0.06672382354736328,1649.5511605355841,0.9656285865442957,5.484588363410884
M-norm,15,0.07135868072509766,1520.0950854036355,0.9683260404876267,5.421420873875183
M-norm,16,0.07597565650939941,1512.7313230727864,0.9684794779351691,5.40664654134326
M-norm,17,0.0807647705078125,1512.915537259039,0.9684756394958944,5.40146592251511
M-norm,18,0.08587074279785156,1513.357655580303,0.9684664271525734,5.399399551217053
M-norm,19,0.09086346626281738,1513.5913256654167,0.9684615582092512,5.398567190211362
M-norm,20,0.09605550765991211,1513.6942995180827,0.9684594125608168,5.398234841048846
M-norm,21,0.10071372985839844,1513.7370039093823,0.9684585227367696,5.398103087991517
M-norm,22,0.10532855987548828,1473.7138893409303,0.9692924774824778,5.405100667948968
M-norm,23,0.11038756370544434,1472.6067424647442,0.9693155469112704,5.409001914506101
M-norm,24,0.11509895324707031,1472.3772690253325,0.9693203284098088,5.409376732679499
M-norm,25,0.12023401260375977,1472.3319093234825,0.9693212735621046,5.409480396475272
M-norm,26,0.12525081634521484,1472.323192184173,0.9693214551996352,5.409506605062071
M-norm,27,0.1300199031829834,1472.3216053856881,0.969321488263482,5.409512568412708
M-norm,28,0.1349010467529297,1472.3213176250044,0.9693214942595018,5.409513839864081
M-norm,29,0.13975191116333008,1472.3212639865978,0.9693214953771561,5.409514103885881
M-norm,30,0.14435315132141113,1472.3212536487852,0.9693214955925633,5.409514158264088
M-norm,31,0.14899206161499023,1472.3212516066103,0.9693214956351157,5.409514169456426
M-norm,32,0.15410733222961426,1775.55742619394,0.9630030156868592,5.404638732511804
M-norm,33,0.15917730331420898,1774.7825700710453,0.9630191612304506,5.403371090315751
