method,iterations,time,residual,fitness,cond_num
M-norm,0,0.0,2931.5972653884396,0.883560396702383,0
M-norm,1,1.083127737045288,20837.304018338997,0.17236673593166674,0
M-norm,2,2.0990777015686035,13164.122688745547,0.4771364942463916,0
M-norm,3,3.0158169269561768,7606.454670980065,0.6978805462649831,0
M-norm,4,3.938365936279297,2474.1305950040796,0.9017304360356604,0
M-norm,5,4.8356616497039795,914.1651703840301,0.9636904321597152,0
M-norm,6,5.737013816833496,501.51145975794043,0.980080553317174,0
M-norm,7,6.6231396198272705,353.57581535185415,0.9859563835178614,0
M-norm,8,7.499652624130249,82.43692184172956,0.996725702200075,0
M-norm,9,8.399040460586548,68.61687978906367,0.9972746180532748,0
M-norm,10,9.285299301147461,11.554578255927634,0.9995410657103976,0
M-norm,11,10.169383525848389,1.3148430593806386,0.9999477759765844,0
M-norm,12,11.063783645629883,0.12633372416671584,0.9999949821727224,0
M-norm,13,11.9524507522583,0.01059746279334398,0.9999995790812134,0
M-norm,14,12.859015464782715,0.0009002350282934431,0.9999999642437211,0
M-norm,15,13.757481575012207,7.968696851739731e-05,0.9999999968349271,0
M-norm,16,14.691285610198975,7.465486984414344e-06,0.9999999997034796,0
M-norm,17,15.658196449279785,7.546533644237422e-07,0.9999999999700261,0
M-norm,18,16.57301139831543,8.465264002490044e-08,0.9999999999966377,0
M-norm,19,17.474543571472168,1.0648433563102288e-08,0.999999999999577,0
M-norm,20,18.388673543930054,1.465659146473266e-09,0.9999999999999418,0
M-norm,21,19.296125888824463,2.1102312175527354e-10,0.9999999999999917,0
M-norm,22,20.207939863204956,5.2090540731092436e-11,0.9999999999999979,0
M-norm,23,21.101469039916992,3.5587283055757426e-11,0.9999999999999986,0
M-norm,24,21.99853229522705,4.090363013659373e-11,0.9999999999999983,0
M-norm,25,22.858411073684692,3.4248772001052225e-11,0.9999999999999987,0
M-norm,26,23.755808115005493,3.4488713659596905e-11,0.9999999999999987,0
M-norm,27,24.676977157592773,2.9670878110284193e-11,0.9999999999999988,0
