method,iterations,time,residual,fitness,cond_num
M-norm,0,0.0,7204.837742997802,-113.67473861157633,0
M-norm,1,0.1567981243133545,133.81707326290817,-1.1298797343637603,0
M-norm,2,0.23241710662841797,589.2955804021108,-8.379436297957701,0
M-norm,3,0.3092050552368164,29418.540505132212,-467.23586638558066,0
M-norm,4,0.3778343200683594,42762.838950613106,-679.628426881145,0
M-norm,5,0.4488046169281006,785.3583722747894,-11.500040843328122,0
M-norm,6,0.5194375514984131,176.73611561360556,-1.8129943496524534,0
M-norm,7,0.5910224914550781,55.935003664923244,0.10971875379892315,0
M-norm,8,0.661902666091919,0.3691222773100153,0.9941249196475834,0
M-norm,9,0.7261075973510742,3.29921701758473e-06,0.9999999474884983,0
M-norm,10,0.7961394786834717,2.982811726244728e-14,0.9999999999999996,0
