iterations,time,residual,fitness,cond_num
0,0.0,54414.92881773402,0.10850420475713851,6.898717213683687
1,0.0,44230.57618331628,0.27535745161639,25.428445222256638
2,7.861344814300537,27908.178200140665,0.5427721020889142,32.08018307461328
3,15.688991785049438,20637.407634632862,0.661891276333121,242.96931153716116
4,23.49398684501648,20442.148967919322,0.66509025654208,351.3605761905448
5,31.31639075279236,20434.786568370306,0.6652108769009311,362.594209061915
6,39.14189171791077,20424.220711194343,0.6653839804489861,374.36892325706253
7,46.98254179954529,20418.61031704516,0.6654758971876884,363.02575045813967
8,54.8129780292511,20418.47693055753,0.6654780824977762,353.99649678899124
9,62.64014911651611,20418.690152463754,0.6654745892205269,340.4838802099681
10,70.51147103309631,20419.371119617197,0.6654634327352171,331.3522527035826
11,78.33819127082825,20419.87014854978,0.665455256997331,320.7132911054364
12,86.15668320655823,20419.92823511932,0.6654543053479651,312.8530434936853
13,93.95066905021667,20420.19478826637,0.6654499383293,304.6138502289392
14,101.92867088317871,20420.150403163578,0.6654506655035034,297.7209335204785
15,109.77280473709106,20420.52439549803,0.6654445382770076,291.08104399971296
16,117.58888483047485,20420.719674098706,0.6654413389702147,285.0658070102859
17,125.4454128742218,20421.391738568618,0.6654303283401894,279.614513159687
18,133.25253796577454,20422.006995248525,0.6654202484089087,274.5021188583478
19,141.13624906539917,20423.140972817993,0.6654016701206146,270.0767424420382
